Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
14868;ACAI PETRUZ PRECATORIUS PRE14 SR OPCA 5KG;UN;PRODUTO ELABORACAO;;;;;;
14869;ACAI PETRUZ PRECATORIUS PRE14 SR OPCA 5KG CX4 EX;CX;P.A. ACAI EXPORT;;;;;;
14872;REATOR BIVOLT 1 X 32/30W;UN;MATERIAL MANUTENCAO;;;;;;
14873;GRADE PROTECAO VENTILADOR EVAPORADOR;UN;MATERIAL MANUTENCAO;;;;;;
14882;TERMINAL PRE ISOLADO TIPO FORQUILHA 1,5 A  2.5MM;UN;MATERIAL MANUTENCAO;;;;;;
14892;BAU FERRAMENTAS NUMERO 0;UN;MATERIAL MANUTENCAO;;;;;;
14896;"TUBO INOX 3"" 304 ESPIRALADO PAREDE 2MM";UN;MATERIAL MANUTENCAO;;;;;;
14899;ACAI ADOCADO BLANK TROPICAL MARIA CLA22 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
14905;GLICOSE PETRUZ CONVENCIONAL SA TB;KG;SEMI ELABORADO;;;;;;
14913;GRAMPO 23/10;CX;MATERIAL USO CONSUMO;;;;;;
14914;GRAMPO 23/13;CX;MATERIAL USO CONSUMO;;;;;;
14921;CAMISA AGENTE PORTARIA CINZA G;UN;UNIFORMES;;;;;;
14928;INTERCAMBIADOR CALOR PICOPOLOS 4000/8000/FL600;UN;IMOBILIZADO;;;;;;
14929;TESTE PED ACAI GUARANA EXOTIC CLA18 SR CNCA 200G EX;KG;PESQUISA E DESENV.;;;;;;
14938;ACAI ADOCADO SAO PEDRO PRE20 SR CPSA 5KG;UN;PRODUTO ELABORACAO;;;;;;
14939;ACAI ADOCADO SAO PEDRO PRE20 SR CPSA 5KG CX4;CX;P.A. BEBIDA MISTA;;;;;;
14945;DISPERSANTE TLO;LT;MATERIAL LIMPEZA;;;;;;
14946;ALCALIS TORRE;LT;MATERIAL LIMPEZA;;;;;;
14948;BIOCIDA AMON;LT;MATERIAL LIMPEZA;;;;;;
14951;TESTE PED ACAI GUARANA PELLET CLA25 SR CNSA 3,35KG EX;KG;PESQUISA E DESENV.;;;;;;
14956;CALDA  ACAI PETRUZ CLA12 SR OPSA 18KG BD;KG;SEMI ELABORADO;;;;;;
14957;BUCHA EMENDA CABO 95MM;UN;MATERIAL MANUTENCAO;;;;;;
14980;RETENTOR 32 X 52 X 10;UN;MATERIAL MANUTENCAO;;;;;;
14981;TESTE PED ACAI PETRUZ CLA12 SR ONSA 1KG;KG;PESQUISA E DESENV.;;;;;;
14983;RETENTOR 36 X 56 X 10;UN;MATERIAL MANUTENCAO;;;;;;
15001;RETENTOR 17 X 28 X 7;UN;MATERIAL MANUTENCAO;;;;;;
15002;PORTA FUSIVEL 15KV;UN;MATERIAL MANUTENCAO;;;;;;
15006;ENGATE RAPIDO PNEUMATICO 1/4 C/ ADAPTADOR;UN;MATERIAL MANUTENCAO;;;;;;
15007;PARAFUSO ALLEN ACO CARBONO M12X40MM;UN;MATERIAL MANUTENCAO;;;;;;
15008;RESERVATORIO OLEO WAIG 325B;UN;MATERIAL MANUTENCAO;;;;;;
15029;"CHAVE ALLEN 1/4"" LONGA";UN;MATERIAL MANUTENCAO;;;;;;
15034;ACAI SAO PEDRO CLA12 SR OBSAO 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
15035;ACAI SAO PEDRO CLA12 SR OBSAO 1,02KG SC40;SC;P.A. ACAI;;;;;;
15053;ACAI SAO PEDRO CLA12 SR CBSAO 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
15054;ACAI SAO PEDRO CLA12 SR CBSAO 1,02KG SC40;SC;P.A. ACAI;;;;;;
15055;ACAI SAO PEDRO STA8 SR CBSAO 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
15057;ACAI SAO PEDRO PRE14 SR CBSAO 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
15058;ACAI SAO PEDRO PRE14 SR CBSAO 1,02KG SC40;SC;P.A. ACAI;;;;;;
15059;ACAI SAO PEDRO CLA12 SR CNSAM 1,02KG;UN;PRODUTO ELABORACAO;;;;;;
15074;ACAI SAO PEDRO CLA12 SR CNSAP 1,02KG;UN;PRODUTO ELABORACAO;;;;;;
15075;ACAI SAO PEDRO CLA12 SR CNSAP 1,02KG SC40;SC;P.A. ACAI;;;;;;
15078;ACAI SAO PEDRO PRE14 SR CNSAP 1,02KG;UN;PRODUTO ELABORACAO;;;;;;
15079;ACAI SAO PEDRO PRE14 SR CNSAP 1,02KG SC40;SC;P.A. ACAI;;;;;;
15091;ACAI SAO PEDRO CLA12 SR CNSAM 1,02KG SC40;SC;P.A. ACAI;;;;;;
15103;"PORCA SEXTAVADA ZINCO 5/16""";UN;MATERIAL MANUTENCAO;;;;;;
15104;AROMA NATURAL MORANGO HS 25526 SAPORITI;KG;INSUMOS DIRETOS;;;;;;
15111;ABACAXI PETRUZ INT12 SR CPSA 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
15114;TINTA ESMALTE SINTETICO CONHAQUE 3,6L;UN;MATERIAL MANUTENCAO;;;;;;
15131;ROLAMENTO 6008 2Z;UN;MATERIAL MANUTENCAO;;;;;;
15133;RETENTOR 80 X 125 X 12;UN;MATERIAL MANUTENCAO;;;;;;
15134;TESTE PED ACAI AMAZON PLANET MAR26 SR CNSA 200G;KG;PESQUISA E DESENV.;;;;;;
15135;TESTE PED ACAI AMAZON PLANET MAR26 SR CNSA1L;KG;PESQUISA E DESENV.;;;;;;
15136;TESTE PED ACAI AMAZON PLANET PUR26 SR CNSA 1L;UN;PESQUISA E DESENV.;;;;;;
15137;TESTE PED ACAI AMAZON PLANET PUR26 SR CNSA 200G;KG;PESQUISA E DESENV.;;;;;;
15142;FUSIVEL RETARDADO 630A 500V 120KA;UN;MATERIAL MANUTENCAO;;;;;;
15148;TESTE PED ACAI AMAZON PLANET CAM29 SR CNSA 200G;KG;PESQUISA E DESENV.;;;;;;
15154;BLOCO DISTRIBUICAO MODULAR 4 POLOS 15 VIAS 125A;UN;MATERIAL MANUTENCAO;;;;;;
15173;TESTE PED ACAI EXOTIC PRE14 R3 CNCAO 5KG BD;KG;PESQUISA E DESENV.;;;;;;
15174;TESTE PED ACAI EXOTIC PRE14 R3 CNCAP 5KG BD;KG;PESQUISA E DESENV.;;;;;;
15175;LUMINARIA ALETADA GERMICIDA COM 1 LAMPADA 20W;UN;MATERIAL MANUTENCAO;;;;;;
15176;ROLAMENTO 6805 2RS;UN;MATERIAL MANUTENCAO;;;;;;
15191;BOMBONA PLASTICA 20L;UN;RECICLAGEM;;;;;;
15202;TESTE PED ACAI ADOCADO ROOTS STA10 SR CNCAO 200G EX;UN;PESQUISA E DESENV.;;;;;;
15203;TESTE PED ACAI ZERO ROOTS STA10 SR CNCAO 200G EX;KG;PESQUISA E DESENV.;;;;;;
15211;TESTE PED AROMA NATURAL MORANGO YEM 260023;KG;PESQUISA E DESENV.;;;;;;
15212;TESTE PED AROMA NATURAL MELAÇO YB 62739;KG;PESQUISA E DESENV.;;;;;;
15213;TESTE PED AROMA NATURAL MELAÇO YM 662284;KG;PESQUISA E DESENV.;;;;;;
15227;CANTONEIRA L ACO CARBONO 1/2'' X 1/8'';UN;MATERIAL MANUTENCAO;;;;;;
15231;VALVULA DIRECIONAL PROCESSO VNB304A-F20A;UN;MATERIAL MANUTENCAO;;;;;;
15259;CONECTOR MACHO 13MM MAQ SOLDA INVESORA;UN;MATERIAL MANUTENCAO;;;;;;
15262;ROLAMENTO 32010;UN;MATERIAL MANUTENCAO;;;;;;
15265;BALDE BRANCO 22 LITROS;UN;RECICLAGEM;;;;;;
15268;TUBO COBRE RIGIDO 1 3/8 P 1/16;UN;MATERIAL MANUTENCAO;;;;;;
15269;TUBO COBRE RIGIDO 1 1/8 P 1/16;UN;MATERIAL MANUTENCAO;;;;;;
15275;ACAI GUARANA BLANK MAKAI PRE20 SR OPCA 100G CX60 EX;CX;P.A. B MISTA EXPORT;;;;;;
15276;ACAI GUARANA BLANK MAKAI PRE20 SR OPCA 100G;UN;PRODUTO ELABORACAO;;;;;;
15279;ROLDANA EXCENTRICA REGULAVEL LATAO PORTA CORRER;UN;MATERIAL MANUTENCAO;;;;;;
15280;"JOELHO GALVANIZADO 45º 2""";UN;MATERIAL MANUTENCAO;;;;;;
15281;ACAI MAKAI CLA13 SR OPCA 18KG BD EX;BD;P.A. B MISTA EXPORT;;;;;;
15282;ETIQUETA ADESIVA GRANOLA ALMALIBRE 20G 62MM;UN;EMBALAGEM;;;;;;
15284;TARUGO BARRA REDONDO INOX 304 1;UN;MATERIAL MANUTENCAO;;;;;;
15287;LUVA REDUCAO GALVANIZADA 3 X 1 1/2;UN;MATERIAL MANUTENCAO;;;;;;
15290;PLACA VALVULAS COM VEDACOES - 082 4FE-35/6FE-50;UN;MATERIAL MANUTENCAO;;;;;;
15291;JOGO VEDACAO 6F/6FE;UN;MATERIAL MANUTENCAO;;;;;;
15293;CONECTOR 175A 600V;UN;MATERIAL MANUTENCAO;;;;;;
15295;JOGO VEDACOES - 4G-/4GE- CDGPR014102;UN;MATERIAL MANUTENCAO;;;;;;
15309;EIXO MOLA 80 X 12 MM;UN;MATERIAL MANUTENCAO;;;;;;
15315;CONTROLADOR PHASELOG E PLUS;UN;MATERIAL MANUTENCAO;;;;;;
15320;ACAI BLANK MAKAI CLA13 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
15321;ACAI BLANK MAKAI CLA13 SR OPCA 100G CX60 EX;CX;P.A. ACAI EXPORT;;;;;;
15325;TESTE PED ACAI AMAZON PLANET PIT26 SR CNSA 1L EX;KG;PESQUISA E DESENV.;;;;;;
15326;TESTE PED ACAI AMAZON PLANET MAR26 SR CNSA1L EX;KG;PESQUISA E DESENV.;;;;;;
15329;INTERRUPTOR COMANDO FIM DE CURSO CORDA;UN;MATERIAL MANUTENCAO;;;;;;
15340;GLUCOSE DE MILHO 25KG;KG;INSUMOS DIRETOS;;;;;;
15344;TESTE PED ACAI PETRUZ LIO96 SR OPSA 100G EX;UND;PESQUISA E DESENV.;;;;;;
15346;ACAI ADOCADO BLANK MAKAI CLA19 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
15347;ACAI ADOCADO BLANK MAKAI CLA19 SR OPCA 100G CX64 EX;CX;P.A. B MISTA EXPORT;;;;;;
15359;BOCAL CERAMICA N 06;UN;MATERIAL MANUTENCAO;;;;;;
15360;BOCAL CERAMICA N 05;UN;MATERIAL MANUTENCAO;;;;;;
15361;CAPA TIG RG CURTA;UN;MATERIAL USO CONSUMO;;;;;;
15374;TESTE PED GLICOSIDEO DE STEVIOL REBM;KG;PESQUISA E DESENV.;;;;;;
15378;ACAI ADOCADO BLANK NOSSA FRUITS STA19 SR OPCL 100G CX40 EX;CX;P.A. B MISTA EXPORT;;;;;;
15379;ACAI ADOCADO BLANK NOSSA FRUITS STA19 SR OPCL 100G;UND;PRODUTO ELABORACAO;;;;;;
15383;ANEL ORING - AO 2109 - DOSADOR BICO G BUNA PRETO (1237BA1);UN;MATERIAL MANUTENCAO;;;;;;
15387;LINGUETA DATADOR PADRAO;UN;MATERIAL MANUTENCAO;;;;;;
15396;CARTUCHO BLS 214 ABEK1 AMONIA E MULTIGASES;UN;SESMT;;;;;;
15404;TESTE PED ACAI ONENINE PUR25 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
15414;EMENDA ELETROCALHA 50 X 50;UN;MATERIAL MANUTENCAO;;;;;;
15419;CALHA LA DE ROCHA 4'';MT;MATERIAL MANUTENCAO;;;;;;
15421;ACAI BLANK 100% AMAZONIA CLA12 SR OPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
15422;ACAI BLANK 100% AMAZONIA CLA12 SR OPSA 100G CX64 EX;CX;P.A. ACAI EXPORT;;;;;;
15423;ACAI BLANK 100% AMAZONIA PRE14 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
15424;ACAI BLANK 100% AMAZONIA PRE14 SR OPCA 100G CX50 EX;CX;P.A. ACAI EXPORT;;;;;;
15431;TARJETA TRINCO INOX 2'' REDONDO;UN;MATERIAL MANUTENCAO;;;;;;
15438;ACAI BLANK PRE14 SR OPCA 100G CX64 EX;CX;P.A. ACAI EXPORT;;;;;;
15441;CABECOTE BOMBA  DIAFRAGMA MS1B108C3;PC;MATERIAL MANUTENCAO;;;;;;
15444;CJ VENTILADOR P/ UNIDADE CONDENSADORA 450MM 220V 45CL450EXCCE;UN;IMOBILIZADO;;;;;;
15455;"LA DE ROCHA 2""";M3;MATERIAL MANUTENCAO;;;;;;
15456;MODULO EXPANSAO SAIDA CLP FPX 8;UN;MATERIAL MANUTENCAO;;;;;;
15465;TESTE PED ACAI PELLET CUP13 SR CNSA 1,2KG;KG;PESQUISA E DESENV.;;;;;;
15472;MANOMETRO NH3 DN 100 SAIDA INFER 1/2 BSP ESC -76 CMHG 0 A 20 BAR;UN;MATERIAL MANUTENCAO;;;;;;
15474;TESTE PED ACAI GUARANA BLANK PETRUZ PRE20 SR OPCA 45G;KG;PESQUISA E DESENV.;;;;;;
15476;TESTE PED ACAI GUARANA BLANK PETRUZ CLA18 SR OPCA 45G CX80 EX;KG;PESQUISA E DESENV.;;;;;;
15477;TESTE PED ACAI GUARANA BLANK PETRUZ CLA18 SR OPCA 45G;KG;PESQUISA E DESENV.;;;;;;
15480;TESTE PED ACAI PETRUZ PUR18 SR CNSA 1L;KG;PESQUISA E DESENV.;;;;;;
15483;ROLAMENTO 6308 ZZ BLINDADO;UN;MATERIAL MANUTENCAO;;;;;;
15489;RETENTOR ARCA 5771;UN;MATERIAL MANUTENCAO;;;;;;
15508;RETENTOR 45 X 62 X 8;UN;MATERIAL MANUTENCAO;;;;;;
15509;"VALVULA SOLENOIDE 1.1/2"" 220V 60HZ 13W 23VA";UN;MATERIAL MANUTENCAO;;;;;;
15515;BOX RETO GIRATORIO 2 SEALTUBO;UN;MATERIAL MANUTENCAO;;;;;;
15516;"SEALTUBO 2""";UN;MATERIAL MANUTENCAO;;;;;;
15521;ACAI BLANK NOSSA FRUITS STA10 SR OPCL 100G;UN;PRODUTO ELABORACAO;;;;;;
15522;ACAI BLANK NOSSA FRUITS STA10 SR OPCL 100G CX40 EX;CX;P.A. ACAI EXPORT;;;;;;
15527;BOX CURVO ALUMINIO 2;UN;MATERIAL MANUTENCAO;;;;;;
15531;XAROPE GUARANA PETRUZ ORGANICO SA 2,9KG BD EX;BD;SEMI ELABORADO;;;;;;
15547;VENTILADOR PARTIDA SUAVE ATS-48C11Q 230-415 V~;UN;MATERIAL MANUTENCAO;;;;;;
15548;BASE ACAI PETRUZ PUR26 SR OPCA TB;KG;SEMI ELABORADO;;;;;;
15552;ACAI BLANK CLA12 SR OPCA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
15558;SELO MECANICO 216 D/F EPDM;UN;MATERIAL MANUTENCAO;;;;;;
15560;PLUG G3/4 ALIVIO;UN;MATERIAL MANUTENCAO;;;;;;
15564;CALDA ACAI PETRUZ PUR30 SR CPSA TB;KG;SEMI ELABORADO;;;;;;
15565;ACAI PETRUZ PUR30 SR CPSA 5KG CX;CX;P.A. SORBET;;;;;;
15566;CAIXA MIX 5L SEM IMPRESSAO BRANCA;UN;EMBALAGEM;;;;;;
15570;RESISTENCIA INFERIOR TP 353MM;UN;MATERIAL MANUTENCAO;;;;;;
15586;ARRUELA QUADRADA 38X03X18MM;UN;MATERIAL MANUTENCAO;;;;;;
15589;"REDUCAO GALVANIZADA 3 X 2""";UN;MATERIAL MANUTENCAO;;;;;;
15590;MASSA ACRILICA LA 25 KG;UN;MATERIAL CONSTRUCAO;;;;;;
15595;ACAI GUARANA BLANK 100% AMAZONIA STA16 SR OPCA 100G;UN;P.A. BEBIDA MISTA;;;;;;
15596;ACAI GUARANA BLANK 100% AMAZONIA STA16 SR OPCA 100G CX64 EX;CX;P.A. B MISTA EXPORT;;;;;;
15597;ACAI GUARANA BLANK 100% AMAZONIA CLA18 SR OPCA 100G CX64 EX;CX;P.A. B MISTA EXPORT;;;;;;
15598;ACAI GUARANA BLANK 100% AMAZONIA CLA18 SR OPCA 100G;UND;P.A. BEBIDA MISTA;;;;;;
15599;TESTE PED ACAI NOSSA FRUITS GUA27 SR CNCL 1L;KG;PESQUISA E DESENV.;;;;;;
15600;UNIAO TC INOX 6'';UN;MATERIAL MANUTENCAO;;;;;;
15614;BALDE BRANCO 20 LITROS;UN;RECICLAGEM;;;;;;
15617;ACAI ASPB CLA12 SR ONCA 1KG;KG;PRODUTO ELABORACAO;;;;;;
15618;ACAI ASPB CLA12 SR ONCA 1KG SC40;SC;P.A. ACAI;;;;;;
15620;SACO LISO ALUMINIZADO 380 X 450 MM 4KG;UN;EMBALAGEM;;;;;;
15621;ACAI PETRUZ LIO SR OPCA 4KG;UND;PRODUTO ELABORACAO;;;;;;
15623;ACAI GUARANA ATASTE CLA21 SR CPCA 100G;UN;PRODUTO ELABORACAO;;;;;;
15624;ACAI GUARANA ATASTE CLA21 SR CPCA 400G CX8 EX;CX;P.A. B MISTA EXPORT;;;;;;
15628;ACAI PETRUZ LIO SR OPSA 4KG EX;UND;PRODUTO ELABORACAO;;;;;;
15634;PROTETOR FILTRO COOLER 150MM;UN;MATERIAL MANUTENCAO;;;;;;
15638;ACAI GUARANA REPROCESSO CLA21 SR CPCA BD;KG;REPROCESSO;;;;;;
15639;ACAI GUARANA REPROCESSO CLA21 SR CPCA TB;KG;REPROCESSO;;;;;;
15643;CONJUNTO TOMADA DUPLA 10A CONDULETE C 3/4';UN;MATERIAL MANUTENCAO;;;;;;
15650;BORNE BATERIA POSITIVO NEGATIVO;UN;MATERIAL MANUTENCAO;;;;;;
15653;"LUVA INOX BSP 2""";UN;MATERIAL MANUTENCAO;;;;;;
15662;APLICADOR FILME STRETCH;UN;MATERIAL USO CONSUMO;;;;;;
15663;RETENTOR 32 X 57 X 7;UN;MATERIAL MANUTENCAO;;;;;;
15676;ACAI BLANK PRE18 SR ONCA 1KG;KG;PRODUTO ELABORACAO;;;;;;
15677;ACAI BLANK PRE18 SR ONCA 1KG SC40;SC;P.A. ACAI;;;;;;
15683;ALICATE AMPERIMETRO DIGITAL EP3200B C/ LANTERNA - MINIPA;UN;MATERIAL MANUTENCAO;;;;;;
15689;ACAI PETRUZ LIO SR OPCL 4KG;UND;PRODUTO ELABORACAO;;;;;;
15691;MOLA TRACAO BALANCIN;UN;MATERIAL MANUTENCAO;;;;;;
15696;TESTE PED KIT AMOSTRA EX;KG;PESQUISA E DESENV.;;;;;;
15697;CONCHA CEREAL INOX 1KG;UN;MATERIAL MANUTENCAO;;;;;;
15705;APLICADOR SILICONE;UN;MATERIAL MANUTENCAO;;;;;;
15713;OLEO TURBINA REGAL 100 20LTS;UN;MATERIAL MANUTENCAO;;;;;;
15714;FILME ACAI PETRUZ MEDIO 400G;KG;EMBALAGEM;;;;;;
15715;FILME ACAI PETRUZ POPULAR 400G;KG;EMBALAGEM;;;;;;
15720;PARAFUSO CONICO 60º CROMADO ROSCA M12X1,5MM 24MM CHAVE 17MM;UN;MATERIAL MANUTENCAO;;;;;;
15721;COLAR TOMADA ABRACADEIRA PVC C/ TRAVA 85MM X 3/4;UN;MATERIAL MANUTENCAO;;;;;;
15722;PAPEL FOTOGRAFICO 180G;UN;MATERIAL EXPEDIENTE;;;;;;
15732;TESTE PED ACAI PELLET BLANK CLA12 SR OPCA 4G 1KG;KG;PESQUISA E DESENV.;;;;;;
15733;TESTE PED ACAI AMAZON PLANET PUR26 R3 OPSA 800G EX;KG;PESQUISA E DESENV.;;;;;;
15735;TELA INOX 304 M020 FIO 0.30;UN;MATERIAL MANUTENCAO;;;;;;
15736;ACAI PETRUZ PRE18 SR OPCA 180KG TB;TB;P.A. ACAI;;;;;;
15745;FITA ADESIVA TRANSPARENTE 69 X 1000 MM;UN;EMBALAGEM;;;;;;
15756;ACAI PETRUZ  LIO96 SR ONSA 4KG;UND;PRODUTO ELABORACAO;;;;;;
15760;GENU® PECTIN TYPE 115 MEDIUM RAPID SET;KG;INSUMOS DIRETOS;;;;;;
15761;AROMA NATURAL GUARANA DUAS RODAS;KG;INSUMOS DIRETOS;;;;;;
15762;ACAI PETRUZ MOR27 SR CPCA 2,9KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
15770;BOTA SEGURANCA PVC PRETA AMARELA CANO LONGO N 41;UN;SESMT;;;;;;
15774;ACAI PELLET BLANK PRE14 SR OPCA 4G 1KG CX6 EX;CX;P.A. ACAI EXPORT;;;;;;
15780;TAMPA ELETROCALHA 150 X 100;UN;MATERIAL MANUTENCAO;;;;;;
15789;ACAI PELLET BLANK CLA12 SR OPCA 4G 1KG CX6 EX;CX;P.A. ACAI EXPORT;;;;;;
15793;PAR FACA MAQUINA COSTURA WAIG;UN;MATERIAL MANUTENCAO;;;;;;
15797;OLEO ATF FMX 17 000048;UN;MATERIAL MANUTENCAO;;;;;;
15810;TESTE PED ACAI ALMALIBRE GUA27 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
15814;ACAI ADOCADO REPROCESSO STA19 OPCL TB;KG;REPROCESSO;;;;;;
15821;ACAI GUARANA PELLET PRE20 OPSA 4G 1KG CX6 EX;CX;P.A. ACAI EXPORT;;;;;;
15827;TESTE PED ACAI SUPERFRUIT GUA27 SR OPCA 200G EX;KG;PESQUISA E DESENV.;;;;;;
15834;CATALIZADOR SINTETICO;UN;MATERIAL MANUTENCAO;;;;;;
15835;TESTE PED ACAI NOSSA FRUITS GUA27 SR CNCL 144G;KG;PESQUISA E DESENV.;;;;;;
15837;ROLETE EMBORRACHADO FECHADURA;UN;MATERIAL MANUTENCAO;;;;;;
15838;RODA MOTRIZ FECHADURA;UN;MATERIAL MANUTENCAO;;;;;;
15840;SACO LISO ALUMINIZADO 120 X 160 MM 100G;UN;EMBALAGEM;;;;;;
15847;TEFLON SEM COLA 35MM X 15MM;UN;MATERIAL MANUTENCAO;;;;;;
15875;TESTE PED ACAI OYA GUA27 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
15878;RETENTOR 50 X 68 X 9;UN;MATERIAL MANUTENCAO;;;;;;
15880;KIT VALVULA REPARO LAVA JATO LAV400;UN;MATERIAL MANUTENCAO;;;;;;
15886;ACAI REPROCESSO PETRUZ LIO96 OPSA BD;KG;REPROCESSO;;;;;;
15889;ACAI REPROCESSO PETRUZ LIO96 OPCL BD;KG;REPROCESSO;;;;;;
15895;ANEL ORING 2014 12,42 X 1,78 PISTAO BOMBA;UN;MATERIAL MANUTENCAO;;;;;;
15897;BOTA SEGURANÇA ELETRICISTA TALONEIRA AMARELA N 36;UN;SESMT;;;;;;
15907;FILTRO CARVAO ATIVADO LFX 1/2'' D-MIDI;UN;MATERIAL MANUTENCAO;;;;;;
15909;FILTRO REGULADOR LFR 1/4 D MINI A;UN;MATERIAL MANUTENCAO;;;;;;
15913;FITA NIQUEL CROMO 2,5 X 0,20MM;M;MATERIAL MANUTENCAO;;;;;;
15915;TINTA EPOXI BASE AGUA BRANCO 3,6L;UN;MATERIAL CONSTRUCAO;;;;;;
15916;TESTE PED ACAI PETRUZ LIO96 SR ONSA 100G;UND;PESQUISA E DESENV.;;;;;;
15921;FLANGE ESMERILHADEIRA 4.1/2'';UN;MATERIAL MANUTENCAO;;;;;;
15928;REDUCAO COBRE 2 1/8'' X 2 5/8'';UN;MATERIAL MANUTENCAO;;;;;;
15945;ANEL ORING EXT. 33,50 X SECÇAO 4,5MM SIL 70 SH A BV 41983;UN;MATERIAL MANUTENCAO;;;;;;
15946;ANEL ORING EXT 48 X SECCAO 5,3MM IL 70 SH A BV 41984;UN;MATERIAL MANUTENCAO;;;;;;
15952;VALVULA SOLENOIDE MOD NICHIDEN 220V 50/60HZ (COMPR. PISTAO) DN 3/8 - KV222-35;PC;MATERIAL MANUTENCAO;;;;;;
15958;ELEMENTO TERMOSTATICO TES5 3M;UN;MATERIAL MANUTENCAO;;;;;;
15969;TESTE PED ACAI AMAZONIA PTY PUR26 SR CNCA 800G EX;KG;PESQUISA E DESENV.;;;;;;
15973;ACAI ELEMENTS GUA27 SR CPCA 500G CX12 EX;CX;P.A. SORBET EXPORT;;;;;;
15974;ACAI ELEMENTS GUA27 SR CPCA 200G CX18 EX;CX;P.A. SORBET EXPORT;;;;;;
15975;ACAI ELEMENTS BAN27 SR CPCA 200G CX18 EX;CX;P.A. SORBET EXPORT;;;;;;
15978;ACAI ELEMENTS CLA12 SR OPCA 100G;UN;PRODUTO ELABORACAO;;;;;;
15979;ACAI GUARANA ELEMENTS CLA18 SR OPCA 100G;UN;PRODUTO ELABORACAO;;;;;;
15980;ACAI ELEMENTS CLA12 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
15981;ACAI GUARANA ELEMENTS CLA18 SR OPCA 400G CX15 EX;CX;P.A. B MISTA EXPORT;;;;;;
16015;FILTRO PARTICULAS P95;UN;SESMT;;;;;;
16021;ACEROLA PELLET BLANK INT6 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16023;GOIABA PELLET BLANK INT9 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16024;MARACUJA PELLET BLANK INT11 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16027;PITAYA PELLET BLANK INT8 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16028;PITAYA PELLET BLANK INT8 SR CPSA 4G 1KG EX;KG;PRODUTO ELABORACAO;;;;;;
16029;CUPUACU PELLET BLANK INT10 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16030;MANGA PELLET BLANK INT12 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16031;CAJU PELLET BLANK INT11 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16032;GRAVIOLA PELLET BLANK INT10 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16033;ABACAXI PELLET BLANK INT12 SR CPSA 4G 1KG CX6 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16035;MANGA PELLET BLANK INT12 SR CPSA 4G 1KG EX;KG;PRODUTO ELABORACAO;;;;;;
16050;BUCHA REDUCAO SOLDAVEL LONGA 60X50;UN;MATERIAL MANUTENCAO;;;;;;
16051;ACAI BLANK PRE14 SR OPSA 5KG;UND;PRODUTO ELABORACAO;;;;;;
16052;ACAI BLANK PRE14 SR OPSA 5KG CX4 EX;CX;P.A. ACAI EXPORT;;;;;;
16056;MANTA ASFALTICA 10CM;UN;MATERIAL MANUTENCAO;;;;;;
16065;LUMINARIA LED SOB 40W 50X50 BRANCA;UN;MATERIAL MANUTENCAO;;;;;;
16066;BALDE BRANCO TAMPA 10LT;UN;RECICLAGEM;;;;;;
16069;BORRACHA IM COM FITA SUP. V120I 1/8X180MM;UN;MATERIAL MANUTENCAO;;;;;;
16070;MISTURA PREPARO ALIMENTO BASE ACAI 5LT;LT;INSUMOS DIRETOS;;;;;;
16079;LUMINARIA LINEAR SMD LED 80W 220V 1700MM;UN;MATERIAL MANUTENCAO;;;;;;
16085;GRAXA ROCADEIRA 80G FS 85/ 85R / 86/ 106 / 120/ 160;UN;MATERIAL MANUTENCAO;;;;;;
16086;FILME ACAI SAO PEDRO TERCEIRIZADAS POPULAR  1,02KG;KG;EMBALAGEM;;;;;;
16087;FILME ACAI SÃO PEDRO TERCEIRIZADAS MEDIO  1,02KG;KG;EMBALAGEM;;;;;;
