Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
00387;CAMU CAMU POLPA INT5 SR CPSA TB;KG;INGREDIENTES;;;;;;
00390;CAMU CAMU POLPA INT5 SR CNSA TB;KG;INGREDIENTES;;;;;;
00393;CAMU CAMU PETRUZ INT5 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00397;CAMU CAMU BLANK PETRUZ INT5 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00400;CUPUACU IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00401;CUPUACU POLPA INT10 SR CPSA TB;KG;INGREDIENTES;;;;;;
00402;CUPUACU POLPA INT10 SR CPSA BD;KG;INGREDIENTES;;;;;;
00404;CUPUACU POLPA INT10 SR CNSA TB;KG;INGREDIENTES;;;;;;
00406;CUPUACU POLPA INT10 SR CNSA SC;KG;INGREDIENTES;;;;;;
00407;CUPUACU PETRUZ INT10 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00409;CUPUACU PETRUZ INT10 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00410;CUPUACU PETRUZ INT10 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00411;CUPUACU PETRUZ INT10 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00413;CUPUACU PETRUZ INT10 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00420;GOIABA IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00421;GOIABA POLPA INT9 SR CPSA TB;KG;INGREDIENTES;;;;;;
00422;GOIABA POLPA INT9 SR CPSA BD;KG;INGREDIENTES;;;;;;
00424;GOIABA POLPA INT9 SR CNSA TB;KG;INGREDIENTES;;;;;;
00426;GOIABA POLPA INT9 SR CNSA SC;KG;INGREDIENTES;;;;;;
00427;GOIABA PETRUZ INT9 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00429;GOIABA PETRUZ INT9 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00430;GOIABA PETRUZ INT9 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00431;GOIABA PETRUZ INT9 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00433;GOIABA PETRUZ INT9 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00437;GRAVIOLA IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00439;GRAVIOLA POLPA INT10 SR CPSA BD;KG;INGREDIENTES;;;;;;
00441;GRAVIOLA POLPA INT10 SR CNSA TB;KG;INGREDIENTES;;;;;;
00443;GRAVIOLA POLPA INT10 SR CNSA SC;KG;INGREDIENTES;;;;;;
00444;GRAVIOLA PETRUZ INT10 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00446;GRAVIOLA PETRUZ INT10 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00447;GRAVIOLA PETRUZ INT10 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00448;GRAVIOLA PETRUZ INT10 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00450;GRAVIOLA PETRUZ INT10 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00454;GRAVIOLA AMAFRUITS INT10 SR CPSA 100G;UN;PRODUTO ELABORACAO;;;;;;
00457;MANGA IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00459;MANGA POLPA INT12 SR CPSA BD;KG;INGREDIENTES;;;;;;
00461;MANGA POLPA INT12 SR CNSA TB;KG;INGREDIENTES;;;;;;
00463;MANGA POLPA INT12 SR CNSA SC;KG;INGREDIENTES;;;;;;
00464;MANGA PETRUZ INT12 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00466;MANGA PETRUZ INT12 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00467;MANGA PETRUZ INT12 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00468;MANGA PETRUZ INT12 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00470;MANGA PETRUZ INT12 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00474;MARACUJA IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00475;MARACUJA POLPA INT11 SR CNSA TB;KG;INGREDIENTES;;;;;;
00477;MARACUJA POLPA INT11 SR CNSA SC;KG;INGREDIENTES;;;;;;
00481;MARACUJA PETRUZ INT11 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00483;MARACUJA PETRUZ INT11 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00484;MARACUJA PETRUZ INT11 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00485;MARACUJA PETRUZ INT11 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00487;MARACUJA PETRUZ INT11 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00491;MORANGO IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00492;MORANGO POLPA INT6 SR CPSA TB;KG;INGREDIENTES;;;;;;
00495;MORANGO PETRUZ INT6 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00498;MORANGO PETRUZ INT6 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00501;MORANGO PETRUZ INT6 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00505;MURUCI IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00506;MURUCI POLPA INT8 SR CPSA TB;KG;INGREDIENTES;;;;;;
00509;MURUCI POLPA INT8 SR CNSA TB;KG;INGREDIENTES;;;;;;
00512;MURUCI PETRUZ INT8 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00514;MURUCI PETRUZ INT8 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00516;MURUCI PETRUZ INT8 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00518;MURUCI PETRUZ INT8 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00520;TAMARINDO POLPA INT11 SR CPSA TB;KG;INGREDIENTES;;;;;;
00521;TAMARINDO POLPA INT11 SR CNSA TB;KG;INGREDIENTES;;;;;;
00523;TAMARINDO PETRUZ INT11 R3 CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00529;TAPEREBA IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00533;TAPEREBA POLPA INT10 SR CNSA TB;KG;INGREDIENTES;;;;;;
00536;TAPEREBA PETRUZ INT10 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00538;TAPEREBA PETRUZ INT10 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00539;TAPEREBA PETRUZ INT10 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00540;TAPEREBA PETRUZ INT10 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00542;TAPEREBA PETRUZ INT10 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00543;CAJA IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00544;CAJA POLPA INT10 SR CPSA TB;KG;INGREDIENTES;;;;;;
00545;CAJA POLPA INT10 SR CNSA TB;KG;INGREDIENTES;;;;;;
00546;CAJA PETRUZ INT10 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00547;CAJA PETRUZ INT10 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00548;CAJA PETRUZ INT10 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00550;CAJA PETRUZ INT10 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00552;CAJA PETRUZ INT10 SR CPSA 1KG CX10;CX;P.A. FRUTAS;;;;;;
